transaction_id,customer_id,product_id,purchase_date,season,purchase_amount,discount_applied,discount_percentage,promo_code_used,shipping_type,review_rating,size_purchased,color_purchased
3001,1001,2027,2023-11-21,Fall,288.0,Yes,25,Yes,Express,2.8,M,Purple
3002,1001,2007,2024-08-24,Summer,53.0,No,0,No,Standard,3.2,XS,Navy
3003,1001,2021,2023-08-29,Summer,124.0,No,0,No,Standard,4.1,S,Green
3004,1001,2027,2023-04-16,Spring,68.6,Yes,30,No,Free Shipping,2.2,XL,Orange
3005,1001,2045,2023-03-27,Spring,32.25,Yes,25,Yes,Standard,2.9,M,Beige
3006,1001,2031,2024-10-03,Fall,16.2,Yes,10,No,Express,2.1,M,Beige
3007,1001,2016,2024-04-23,Spring,119.0,No,0,No,2-Day Shipping,2.4,XL,Navy
3008,1002,2005,2024-08-28,Summer,93.0,No,0,No,Free Shipping,4.3,XL,Yellow
3009,1002,2035,2024-10-16,Fall,72.1,Yes,30,Yes,Standard,3.6,M,Blue
3010,1002,2044,2024-02-27,Winter,163.1,Yes,30,Yes,2-Day Shipping,4.7,M,Red
3011,1002,2030,2024-04-25,Spring,34.5,Yes,25,No,Free Shipping,3.7,M,Pink
3012,1002,2013,2023-08-25,Summer,56.25,Yes,25,Yes,Express,4.8,S,Navy
3013,1002,2001,2024-10-23,Fall,54.0,No,0,No,Standard,3.6,S,Brown
3014,1002,2044,2024-09-19,Fall,191.2,Yes,20,No,2-Day Shipping,3.9,S,Navy
3015,1002,2010,2023-10-24,Fall,108.0,No,0,No,Standard,4.3,XL,Beige
3016,1002,2008,2023-07-12,Summer,31.5,Yes,30,Yes,Next Day Air,3.2,M,Red
3017,1002,2033,2023-05-09,Spring,99.9,Yes,10,Yes,Express,3.5,M,Green
3018,1002,2011,2023-11-16,Fall,85.0,No,0,No,Express,5.0,XS,Blue
3019,1002,2016,2023-03-24,Spring,78.3,Yes,10,No,Standard,4.2,M,Green
3020,1003,2011,2023-01-13,Winter,42.0,No,0,No,Express,4.5,L,Gray
3021,1003,2034,2023-02-04,Winter,52.5,Yes,30,No,Standard,4.4,L,Yellow
3022,1003,2001,2023-11-16,Fall,35.0,Yes,30,No,Standard,4.1,M,Gray
3023,1003,2035,2024-01-05,Winter,133.2,Yes,10,Yes,Express,3.6,XS,Navy
3024,1003,2028,2023-10-10,Fall,46.8,Yes,10,No,Free Shipping,4.9,L,Purple
3025,1003,2013,2024-09-02,Fall,28.9,Yes,15,Yes,Free Shipping,4.1,M,Orange
3026,1003,2016,2024-10-02,Fall,45.5,Yes,30,Yes,Standard,4.6,S,Blue
3027,1003,2039,2024-07-25,Summer,291.0,No,0,No,2-Day Shipping,3.8,S,Black
3028,1003,2043,2024-12-06,Winter,88.2,Yes,10,Yes,Express,4.1,M,Brown
3029,1003,2022,2024-12-14,Winter,20.0,Yes,20,Yes,Express,3.8,XL,Brown
3030,1003,2014,2023-06-14,Summer,69.6,Yes,20,Yes,Express,4.2,XL,Green
3031,1004,2026,2023-07-09,Summer,24.0,No,0,No,Free Shipping,3.9,M,Purple
3032,1004,2027,2023-03-06,Spring,387.0,No,0,No,Standard,4.7,L,Orange
3033,1004,2009,2024-07-18,Summer,59.0,No,0,No,Free Shipping,3.8,XS,White
3034,1004,2008,2024-06-19,Summer,56.95,Yes,15,No,Standard,3.5,XS,Beige
3035,1004,2019,2023-07-16,Summer,42.75,Yes,25,Yes,Free Shipping,4.4,XL,Red
3036,1004,2045,2023-02-20,Winter,68.4,Yes,10,No,Standard,4.9,L,White
3037,1004,2014,2024-04-24,Spring,63.75,Yes,25,No,Free Shipping,4.7,XS,Pink
3038,1004,2007,2023-09-30,Fall,42.4,Yes,20,Yes,Standard,3.3,XL,White
3039,1004,2024,2023-04-14,Spring,83.3,Yes,30,Yes,Free Shipping,4.4,S,Brown
3040,1004,2035,2024-07-25,Summer,88.0,No,0,No,Free Shipping,4.6,L,Purple
3041,1004,2017,2024-11-12,Fall,179.0,No,0,No,Standard,3.5,L,Brown
3042,1004,2001,2023-12-12,Winter,54.0,Yes,25,No,2-Day Shipping,4.9,XL,Blue
3043,1004,2010,2024-01-16,Winter,185.0,No,0,No,2-Day Shipping,4.0,XL,Gray
3044,1004,2034,2024-07-30,Summer,131.2,Yes,20,No,Express,3.8,L,Black
3045,1005,2015,2023-02-05,Winter,21.0,No,0,No,Next Day Air,3.6,M,Black
3046,1005,2029,2023-11-04,Fall,23.2,Yes,20,Yes,Free Shipping,4.8,XL,Pink
3047,1005,2020,2023-06-08,Summer,44.2,Yes,15,Yes,2-Day Shipping,2.8,S,Gray
3048,1005,2001,2023-09-20,Fall,41.65,Yes,15,Yes,Free Shipping,4.2,L,Navy
3049,1005,2017,2024-05-14,Spring,217.0,No,0,No,Free Shipping,2.3,XS,Purple
3050,1005,2008,2024-08-13,Summer,39.2,Yes,20,Yes,2-Day Shipping,3.0,L,White
3051,1005,2019,2023-08-21,Summer,140.0,No,0,No,Standard,3.8,L,Black
3052,1005,2031,2023-11-09,Fall,36.55,Yes,15,Yes,Free Shipping,3.0,S,Black
